match_id,season,round_number,match_time,home_team,away_team,venue,home_score,away_score,home_win,home_team_id,away_team_id,is_final,home_elo_pre,away_elo_pre,elo_diff,home_win_rate_l3,home_win_rate_l5,home_win_rate_l10,home_avg_pts_for_l10,home_avg_pts_against_l10,home_momentum,away_win_rate_l3,away_win_rate_l5,away_win_rate_l10,away_avg_pts_for_l10,away_avg_pts_against_l10,away_momentum,h2h_home_win_rate_l5,h2h_avg_margin_l5,h2h_games_played,home_rest_days,away_rest_days,home_interstate_travel,away_interstate_travel,home_travel_km,away_travel_km,travel_km_diff,is_neutral_venue,home_venue_win_rate,away_venue_win_rate,venue_home_advantage,bm_home_odds,bm_away_odds,bm_home_implied_prob,bm_away_implied_prob,bm_overround,bm_home_odds_open,bm_away_odds_open,bm_home_odds_drift,bm_away_odds_drift,bm_line_move,home_availability_index,away_availability_index,home_key_players_absent,away_key_players_absent,availability_diff,weather_is_raining,weather_is_high_wind,weather_is_extreme_heat,weather_scoring_index
1623,2023,2,2023-03-25 05:35:00,Adelaide,Richmond,Adelaide Oval,76.0,108.0,0.0,1,14,False,1405.01,1531.81,-126.81,0.3333,0.6,0.4,83.9,87.9,-0.0667,0.3333,0.6,0.5,100.4,80.5,-0.1667,0.6,-0.8,7,6.0,8.0,0,1,0.0,730.0,730.0,0,0.5789,0.4,0.1789,2.578,1.634,0.3879,0.6121,1.0,2.578,1.634,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1624,2023,2,2023-03-25 08:25:00,Western Bulldogs,St Kilda,Docklands,41.0,92.0,0.0,18,15,False,1526.95,1507.77,19.18,0.3333,0.4,0.4,74.6,88.2,-0.0667,0.3333,0.4,0.4,68.8,81.2,-0.0667,0.6,31.4,5,7.0,6.0,0,0,0.0,0.0,0.0,0,0.6711,0.4568,0.2143,1.514,2.947,0.6607,0.3393,1.0,1.514,2.947,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1625,2023,2,2023-03-25 08:30:00,Fremantle,North Melbourne,Perth Stadium,72.0,73.0,0.0,6,12,False,1538.48,1335.49,202.99,0.3333,0.6,0.5,70.6,68.9,-0.1667,0.3333,0.2,0.2,70.0,109.5,0.1333,0.8,37.6,6,6.0,7.0,0,1,0.0,2720.0,2720.0,0,0.6047,0.2,0.4047,1.159,7.299,0.863,0.137,1.0,1.159,7.299,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1626,2023,2,2023-03-26 02:10:00,Sydney,Hawthorn,S.C.G.,118.0,37.0,1.0,16,10,False,1618.99,1421.03,197.96,0.6667,0.8,0.9,95.1,75.8,-0.2333,0.0,0.2,0.4,77.1,88.0,-0.4,0.4,-5.4,7,7.0,6.0,0,1,0.0,870.0,870.0,0,0.6456,0.5714,0.0742,1.103,10.741,0.9069,0.0931,1.0,1.103,10.741,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1627,2023,2,2023-03-26 04:20:00,Essendon,Gold Coast,Docklands,108.0,80.0,1.0,5,8,False,1463.23,1437.71,25.52,0.3333,0.4,0.5,91.5,93.2,-0.1667,0.3333,0.4,0.3,79.9,91.5,0.0333,1.0,27.0,2,7.0,7.0,0,1,0.0,1730.0,1730.0,0,0.4902,0.3125,0.1777,1.575,2.74,0.635,0.365,1.0,1.575,2.74,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1628,2023,2,2023-03-26 07:20:00,West Coast,Greater Western Sydney,Perth Stadium,100.0,81.0,1.0,17,9,False,1331.77,1449.96,-118.2,0.0,0.0,0.1,75.7,103.1,-0.1,0.3333,0.4,0.3,65.8,83.3,0.0333,0.8,30.8,5,8.0,7.0,0,0,0.0,0.0,0.0,0,0.5745,0.1429,0.4316,2.048,1.954,0.4882,0.5118,1.0,2.048,1.954,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1629,2023,3,2023-03-30 08:20:00,Western Bulldogs,Brisbane Lions,Docklands,67.0,53.0,1.0,18,2,False,1507.81,1583.06,-75.25,0.0,0.4,0.4,72.0,86.6,-0.4,0.3333,0.6,0.6,87.1,97.0,-0.2667,1.0,26.8,6,4.0,5.0,0,1,0.0,1730.0,1730.0,0,0.6623,0.35,0.3123,2.487,1.673,0.4021,0.5979,1.0,2.487,1.673,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1630,2023,3,2023-03-31 08:50:00,Collingwood,Richmond,M.C.G.,63.0,49.0,1.0,4,14,False,1598.86,1544.33,54.53,0.6667,0.6,0.7,89.4,79.7,-0.0333,0.3333,0.6,0.5,98.4,78.8,-0.1667,0.2,-33.0,5,6.0,6.0,0,0,0.0,0.0,0.0,0,0.5229,0.7019,-0.179,1.449,3.228,0.6902,0.3098,1.0,1.449,3.228,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1631,2023,3,2023-04-01 02:45:00,Hawthorn,North Melbourne,York Park,80.0,61.0,1.0,10,12,False,1414.83,1361.44,53.4,0.0,0.2,0.4,72.5,87.3,-0.4,0.6667,0.4,0.3,71.5,105.2,0.3667,0.8,12.0,6,6.0,6.0,1,1,310.0,310.0,0.0,1,0.6667,,,2.435,1.697,0.4106,0.5894,1.0,2.435,1.697,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1632,2023,3,2023-04-01 05:35:00,Greater Western Sydney,Carlton,Sydney Showground,64.0,74.0,0.0,9,3,False,1430.86,1499.11,-68.25,0.3333,0.4,0.3,66.2,84.5,0.0333,0.3333,0.2,0.3,77.1,77.7,0.0333,0.8,34.0,6,5.0,8.0,0,1,0.0,870.0,870.0,0,0.7167,0.2,0.5167,2.581,1.633,0.3875,0.6125,1.0,2.581,1.633,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1633,2023,3,2023-04-01 08:25:00,St Kilda,Essendon,M.C.G.,92.0,74.0,1.0,15,5,False,1526.92,1475.81,51.11,0.6667,0.4,0.5,74.8,77.0,0.1667,0.6667,0.4,0.6,92.6,90.5,0.0667,0.4,-3.4,5,7.0,6.0,0,0,0.0,0.0,0.0,1,0.5294,0.3889,0.1405,1.93,2.076,0.5182,0.4818,1.0,1.93,2.076,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1634,2023,3,2023-04-01 08:30:00,Port Adelaide,Adelaide,Adelaide Oval,86.0,117.0,0.0,13,1,False,1530.95,1392.49,138.47,0.6667,0.6,0.4,93.8,83.8,0.2667,0.0,0.4,0.3,80.0,92.9,-0.3,0.8,33.0,8,7.0,7.0,0,0,0.0,0.0,0.0,0,0.5938,0.5729,0.0209,1.383,3.613,0.7232,0.2768,1.0,1.383,3.613,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1635,2023,3,2023-04-02 04:10:00,Gold Coast,Geelong,Carrara,73.0,54.0,1.0,8,7,False,1425.14,1636.4,-211.26,0.3333,0.2,0.3,78.8,93.0,0.0333,0.3333,0.6,0.8,107.6,71.8,-0.4667,0.25,-36.75,4,6.0,9.0,0,1,0.0,1730.0,1730.0,0,0.3333,0.75,-0.4167,3.337,1.428,0.2997,0.7003,1.0,3.337,1.428,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1636,2023,3,2023-04-02 05:20:00,Melbourne,Sydney,M.C.G.,134.0,84.0,1.0,11,16,False,1583.42,1625.18,-41.75,0.3333,0.4,0.5,89.6,78.6,-0.1667,0.6667,0.8,0.9,98.7,73.0,-0.2333,0.2,-17.4,7,8.0,7.0,0,1,0.0,870.0,870.0,0,0.5,0.5909,-0.0909,1.807,2.239,0.5534,0.4466,1.0,1.807,2.239,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1637,2023,3,2023-04-02 07:20:00,Fremantle,West Coast,Perth Stadium,108.0,67.0,1.0,6,17,False,1512.52,1350.87,161.66,0.0,0.4,0.4,66.7,69.2,-0.4,0.3333,0.2,0.1,75.0,101.5,0.2333,0.4,-18.0,8,7.0,7.0,0,0,0.0,0.0,0.0,0,0.5909,0.5833,0.0076,1.45,3.222,0.6896,0.3104,1.0,1.45,3.222,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
1638,2023,4,2023-04-06 09:35:00,Brisbane Lions,Collingwood,Gabba,116.0,83.0,1.0,2,4,False,1565.9,1610.19,-44.29,0.3333,0.4,0.5,81.4,94.4,-0.1667,1.0,0.8,0.7,87.7,77.0,0.3,0.6,6.2,7,7.0,6.0,0,1,0.0,1730.0,1730.0,0,0.5435,0.5714,-0.0279,2.032,1.969,0.4922,0.5078,1.0,2.032,1.969,0.0,0.0,unknown,1.0,1.0,0,0,0.0,0,0,0,1.0
